info,people,score,title,words
1999 / 美国 德国 / 剧情 动作 悬疑 惊悚,477327人评价,9.0,搏击俱乐部 / Fight Club / 搏击会(港)  /  斗阵俱乐部(台),邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。
2009 / 美国 / 剧情 喜剧 动画 冒险,644249人评价,8.9,飞屋环游记 / Up / 冲天救兵(港)  /  天外奇迹(台)[可播放],最后那些最无聊的事情，才是最值得怀念的。 
1995 / 香港 中国大陆 / 喜剧 爱情 奇幻 冒险,542754人评价,8.9,大话西游之月光宝盒 / 西遊記第壹佰零壹回之月光寶盒 / 西游记101回月光宝盒  /  齐天大圣东游记[可播放],旷古烁今。
1953 / 美国 / 喜剧 剧情 爱情,487396人评价,9.0,罗马假日 / Roman Holiday / 金枝玉叶(港)  /  罗马假期(台)[可播放],爱情哪怕只有一天。
2016 / 印度 / 剧情 传记 运动 家庭,659299人评价,9.1,摔跤吧！爸爸 / Dangal / 我和我的冠军女儿(台)  /  打死不离3父女(港)[可播放],你不是在为你一个人战斗，你要让千千万万的女性看到女生并不是只能相夫教子。
2006 / 德国 / 剧情 悬疑,288886人评价,9.1,窃听风暴 / Das Leben der Anderen / 他人的生活  /  别人的生活[可播放],别样人生。
2004 / 日本 / 动画 奇幻 冒险,458723人评价,8.9,哈尔的移动城堡 / ハウルの動く城 / 呼啸山城  /  霍尔的移动城堡,带着心爱的人在天空飞翔。
2013 / 韩国 / 剧情,286666人评价,9.2,辩护人 / 변호인 / 逆权大状(港)  /  正义辩护人(台)[可播放],电影的现实意义大过电影本身。
1992 / 美国 / 剧情,413827人评价,9.0,闻香识女人 / Scent of a Woman / 女人香  /  女人的芳香[可播放],史上最美的探戈。
1998 / 英国 / 剧情 喜剧 犯罪,326975人评价,9.1,"两杆大烟枪 / Lock, Stock and Two Smoking Barrels / 够姜四小强(港)  /  两根枪管(台)",4个臭皮匠顶个诸葛亮，盖·里奇果然不是盖的。
1975 / 美国 / 剧情,331302人评价,9.0,飞越疯人院 / One Flew Over the Cuckoo's Nest / 飞越杜鹃窝(台)  /  飞越喜鹊巢,自由万岁。
